"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
1.32437436738236e-257 0.54377181217604 0.456 0.154 2.64994067169537e-253
1.32864369713669e-252 -0.366880724290218 0.204 0.498 2.65848317360079e-248
3.95456243349987e-252 -0.271343421323125 0.907 0.932 7.91268397318988e-248
2.54064187379548e-251 0.514320348644796 0.412 0.128 5.08357032527738e-247
1.04726424122237e-247 0.504925976151552 0.453 0.154 2.09547102026183e-243
5.68064827957516e-246 0.309843778074592 0.976 0.83 1.13664091426019e-241
5.19899275324959e-242 0.339078877142412 0.787 0.453 1.04026645999771e-237
3.32987495063184e-240 0.270346837511327 0.968 0.829 6.66274678871926e-236
9.02524554852053e-240 0.420940850746854 0.371 0.096 1.80586138180347e-235
2.6975737840108e-238 0.36955382649112 0.443 0.143 5.39757538442721e-234
3.10228584928296e-238 0.2825785269816 0.952 0.83 6.20736375583028e-234
6.2559572089821e-238 0.416446474886776 0.373 0.099 1.25175447794523e-233
4.66716387969997e-237 0.409863203483661 0.416 0.127 9.33852820689166e-233
6.08612054757782e-237 -0.312047524941235 0.792 0.896 1.21777186036485e-232
1.1665368525519e-236 0.302291991733894 0.305 0.053 2.3341235882711e-232
1.49650058542884e-236 0.388049430535876 0.365 0.091 2.99434802138457e-232
1.92745908826213e-235 -0.392630482542639 0.915 0.979 3.8566528897037e-231
3.10408490385739e-235 -0.358646415903974 0.137 0.418 6.21096348412824e-231
3.25739012815582e-235 0.377646680423269 0.515 0.21 6.51771190742697e-231
9.52814333931101e-235 0.279405241496139 0.952 0.821 1.90648620076274e-230
2.81899330792673e-234 0.460949625401078 0.415 0.134 5.64052370983059e-230
3.45461860365526e-234 0.362747224043363 0.917 0.673 6.9123463640538e-230
3.53572858628848e-233 0.457323183739154 0.398 0.121 7.07463932830462e-229
5.4742126410201e-229 0.44686947694386 0.384 0.112 1.09533520734171e-224
2.12464555493081e-228 0.298291255705817 0.543 0.226 4.25120329086107e-224
9.00898199581961e-228 0.341979432886628 0.4 0.121 1.80260720754355e-223
1.29591089008008e-225 0.304458282606106 0.339 0.077 2.59298809996123e-221
1.91933100056572e-225 0.363506211208083 0.357 0.093 3.84038939903194e-221
5.23825311052783e-225 0.263346047011973 0.371 0.096 1.04812206488551e-220
6.55976771586836e-225 0.420543568359658 0.556 0.261 1.3125439222681e-220
9.59019912413337e-225 0.403586721285223 0.384 0.113 1.91890294274785e-220
2.82582446092561e-222 0.273010574175819 0.962 0.745 5.65419216386605e-218
1.82966285024639e-220 0.361713542299091 0.417 0.134 3.66097239705801e-216
6.46064428748972e-220 0.260896787138812 0.937 0.796 1.29271031548382e-215
3.15436991470045e-219 0.337280986282927 0.772 0.479 6.31157876232412e-215
4.44265386964414e-218 0.284097328724471 0.318 0.068 8.88930612777097e-214
8.57923994067365e-218 0.376198997952007 0.368 0.103 1.71662011972939e-213
4.19607866390344e-216 0.371517817572385 0.46 0.176 8.39593379860438e-212
4.43085557279664e-216 0.307560052040382 0.346 0.086 8.86569891560879e-212
5.86022190254743e-216 0.311776197727437 0.602 0.305 1.17257180048072e-211
4.42022092653747e-215 0.379466845134401 0.386 0.119 8.84442005190882e-211
5.55282154152428e-214 0.607073115746074 0.551 0.259 1.11106406224359e-209
2.98087565849495e-213 0.385762770437434 0.62 0.318 5.96443410508254e-209
3.27638162993066e-213 -0.365264484797062 0.532 0.698 6.55571200332826e-209
4.38917993179865e-213 0.34786162171347 0.412 0.135 8.78231012553592e-209
2.80749948464402e-212 0.540496728094164 0.499 0.218 5.61752571882423e-208
1.26016686932105e-211 0.331977005947479 0.59 0.282 2.5214678888245e-207
2.45762586693212e-211 0.312891179737362 0.469 0.177 4.91746359714447e-207
2.12768252009417e-210 0.449015513700834 0.399 0.133 4.25727995445643e-206
3.36390472462673e-210 -0.352960957254481 0.234 0.496 6.73083696350562e-206
2.26492250832659e-208 0.379940464898882 0.425 0.153 4.53188344691067e-204
2.52537953823008e-207 -0.270103996901907 0.937 0.985 5.05303191804457e-203
4.53897907269963e-207 0.417410159145534 0.412 0.14 9.08204322656468e-203
6.36921409977847e-207 0.363561921142184 0.396 0.127 1.27441604922467e-202
4.43260837136322e-206 0.351636111908399 0.657 0.365 8.86920609026066e-202
9.14202989311512e-206 0.447468648396737 0.499 0.222 1.8292287613134e-201
1.83487151061448e-205 0.399691536166125 0.4 0.135 3.67139440558852e-201
