"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.13234529781186e-51,0.751693643182451,0.761,0.477,6.39703589343559e-48,"Llama Cluster 1","PDLIM1"
2.15476588054244e-51,0.43340099345769,0.603,0.336,6.46429764162731e-48,"Llama Cluster 1","CLDN1"
2.81515116970653e-51,0.527081997588652,0.536,0.359,8.44545350911958e-48,"Llama Cluster 1","MYH9"
5.85152740258901e-51,0.729483486133721,0.705,0.44,1.7554582207767e-47,"Llama Cluster 1","SDC4"
7.90082022178924e-51,0.769892407897953,0.603,0.395,2.37024606653677e-47,"Llama Cluster 1","ACSL4"
8.3690956247658e-51,0.553442727930117,0.769,0.434,2.51072868742974e-47,"Llama Cluster 1","RPS23"
1.00057571062103e-50,0.596277760020278,0.664,0.396,3.00172713186309e-47,"Llama Cluster 1","PLS3"
1.14742598601804e-50,0.560352346646188,0.712,0.388,3.44227795805413e-47,"Llama Cluster 1","FTH1"
1.4137457427108e-50,0.328988307488109,0.481,0.314,4.24123722813239e-47,"Llama Cluster 1","BICC1"
1.82923979414148e-50,0.682759970331123,0.437,0.317,5.48771938242442e-47,"Llama Cluster 1","LIF"
3.24309881636032e-50,0.688153561721859,0.641,0.402,9.72929644908095e-47,"Llama Cluster 1","LOC102544406"
