"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.72087815380813e-104,0.596342643812711,0.515,0.332,5.16263446142438e-101,"Secretory","IRX2"
1.45446538324724e-102,0.76801521436631,0.459,0.304,4.36339614974173e-99,"Secretory","HLA-DRB1"
6.60034817860974e-101,0.694085115639588,0.4,0.284,1.98010445358292e-97,"Secretory","NR4A2"
3.20116211558493e-100,0.551713924757482,0.438,0.283,9.60348634675479e-97,"Secretory","BCL3"
2.90539626993042e-99,0.811648476261447,0.466,0.228,8.71618880979126e-96,"Secretory","SLC6A14"
4.07432262820732e-99,0.860003770498047,0.527,0.354,1.2222967884622e-95,"Secretory","HES1"
7.44531052886628e-99,0.499455050636601,0.54,0.361,2.23359315865989e-95,"Secretory","EBP"
1.95544248448254e-98,0.940228292195242,0.483,0.273,5.86632745344761e-95,"Secretory","CYP1B1"
2.51077797891706e-98,0.590912703671776,0.518,0.343,7.53233393675119e-95,"Secretory","MT-ND6"
3.33510032250912e-98,0.479731877238598,0.534,0.37,1.00053009675274e-94,"Secretory","IFITM3"
4.41551981117715e-98,0.723842691472697,0.447,0.299,1.32465594335314e-94,"Secretory","PPARGC1A"
1.0602018680991e-96,0.550308671734033,0.478,0.347,3.18060560429731e-93,"Secretory","MAP3K8"
2.76986480336449e-94,0.691305343097279,0.491,0.334,8.30959441009348e-91,"Secretory","MDK"
9.196723820466e-94,0.50818176045943,0.458,0.328,2.7590171461398e-90,"Secretory","SORD"
6.75436897611207e-93,0.325036881813854,0.507,0.358,2.02631069283362e-89,"Secretory","MT-ND4"
3.10634925688685e-92,0.555275432754646,0.515,0.355,9.31904777066055e-89,"Secretory","ATP1B1"
7.00497278624387e-87,0.812526506369562,0.434,0.231,2.10149183587316e-83,"Secretory","PEG10"
1.22792164741731e-86,0.419540606565288,0.55,0.394,3.68376494225192e-83,"Secretory","TBL1XR1"
1.54946502467156e-86,0.343556773842878,0.419,0.287,4.64839507401468e-83,"Secretory","NFKB2"
2.39933932034063e-85,0.409872366791206,0.425,0.269,7.19801796102188e-82,"Secretory","VEGFA"
5.16037580860222e-85,0.824317482566725,0.433,0.168,1.54811274258066e-81,"Secretory","KCNK5"
1.11530690959255e-83,0.718524654988997,0.447,0.306,3.34592072877765e-80,"Secretory","HLA-DRA"
6.38418881142206e-83,0.450859646194562,0.534,0.389,1.91525664342662e-79,"Secretory","LDLR"
1.79788130664924e-82,2.16408696005737,0.41,0.19,5.39364391994773e-79,"Secretory","SERPINB3"
4.9976452643194e-82,1.58361451502984,0.368,0.14,1.49929357929582e-78,"Secretory","MUC5B"
5.22625479431144e-82,0.501529382129799,0.508,0.376,1.56787643829343e-78,"Secretory","PPP1R15A"
5.75463552247735e-82,0.513860698023602,0.434,0.277,1.72639065674321e-78,"Secretory","MESP1"
