"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS13",3.24693881397951e-19,-0.70918687940528,0.379,0.838,9.21708521124364e-15
"PLAT",3.26351150074516e-18,0.635437219248726,0.879,0.343,9.26413009716528e-14
"ATP6V0E1",4.18704213209e-18,-0.500792850233919,0.667,0.933,1.18857565003639e-13
"LOC102543689",1.0137268552155e-17,-0.754307354491787,0.424,0.834,2.87766642390024e-13
"TPM4",1.66921471227598e-17,-0.546151287031907,0.712,0.932,4.73839980373782e-13
"LOC116278795",2.02307233049432e-17,-0.535236252804763,0.621,0.913,5.74289542457422e-13
"CUNH22orf23",2.04502234763605e-17,0.546535093167456,0.742,0.273,5.80520493823446e-13
"KRT18",4.15230397605176e-17,-0.643081513735189,0.545,0.89,1.17871452968181e-12
"SAXO2",7.3693039333798e-17,0.609630755611296,0.864,0.339,2.09192430756852e-12
"LOC102526361",8.09815817003162e-17,-0.619918157256908,0.53,0.869,2.29882415972688e-12
"SDC4",8.60193955281442e-17,-0.657842438461349,0.485,0.859,2.44183258085743e-12
"RPS23",9.72331459308866e-17,-0.566444947339647,0.652,0.922,2.76015731354008e-12
"RAMP1",1.26269421698302e-16,0.5628415837739,0.667,0.263,3.58441007374969e-12
"EFEMP1",1.71187772750298e-16,-0.583714090965126,0.727,0.911,4.85950730506271e-12
"ABCC4",3.07913504290627e-16,-0.734644317301252,0.212,0.714,8.74074064629803e-12
"HSPA5",8.59602679072387e-16,-0.630905261946158,0.47,0.923,2.44015412508279e-11
"DNAAF1",9.07553750926208e-16,0.503111199648705,0.652,0.222,2.57627283275423e-11
"AGR2",9.43939332142871e-16,-0.822325369545424,0.242,0.72,2.67956058215397e-11
"LRRIQ1",2.28088598455166e-15,0.736598281009605,0.939,0.39,6.47475104434681e-11
"LRP10",2.71834987331599e-15,-0.574333415636667,0.455,0.88,7.71657978538211e-11
"PDIA3",3.61952148788318e-15,-0.505117450483632,0.606,0.936,1.0274735647654e-10
"SPP1",3.85274484841124e-15,-0.605091832381506,0.879,0.989,1.0936786801185e-10
"SEC62",4.38692782003583e-15,-0.505850936828193,0.561,0.919,1.24531720027357e-10
"PON2",4.49486435955072e-15,-0.605793923289437,0.364,0.838,1.27595714574566e-10
